ID,Stage,Row,Mat,Array,Bank,Chip,Rank,Data_type
0,0,0,0,0,0,0,0,data
1,0,0,0,0,0,0,0,data
2,0,0,0,0,0,0,0,data
3,0,0,0,0,0,0,0,data
4,0,0,0,0,0,0,0,data
5,0,0,0,0,0,0,0,data
6,0,0,0,0,0,0,0,data
7,0,0,0,0,0,0,0,data
8,0,0,0,0,0,0,0,data
9,0,0,0,0,0,0,0,data
10,0,0,0,0,0,0,0,data
11,0,0,0,0,0,0,0,data
12,0,0,0,0,0,0,0,data
13,0,0,0,0,0,0,0,data
14,0,0,0,0,0,0,0,data
15,0,0,0,0,0,0,0,data
16,0,0,0,0,0,0,0,data
17,0,0,0,0,0,0,0,data
18,0,0,0,0,0,0,0,data
19,0,0,0,0,0,0,0,data
20,0,0,0,0,0,0,0,data
21,0,0,0,0,0,0,0,data
22,0,0,0,0,0,0,0,data
23,0,0,0,0,0,0,0,data
24,0,0,0,0,0,0,0,data
25,0,0,0,0,0,0,0,data
26,0,0,0,0,0,0,0,data
27,0,0,0,0,0,0,0,data
28,0,0,0,0,0,0,0,data
29,0,0,0,0,0,0,0,data
30,0,0,0,0,0,0,0,data
31,0,0,0,0,0,0,0,data
32,0,0,0,0,0,0,0,data
33,0,0,0,0,0,0,0,data
34,0,0,0,0,0,0,0,data
35,0,0,0,0,0,0,0,data
36,0,0,0,0,0,0,0,data
37,0,0,0,0,0,0,0,data
38,0,0,0,0,0,0,0,data
39,0,0,0,0,0,0,0,data
40,0,0,0,0,0,0,0,data
41,0,0,0,0,0,0,0,data
42,0,0,0,0,0,0,0,data
43,0,0,0,0,0,0,0,data
44,0,0,0,0,0,0,0,data
45,0,0,0,0,0,0,0,data
46,0,0,0,0,0,0,0,data
47,0,0,0,0,0,0,0,data
48,0,0,0,0,0,0,0,data
49,0,0,0,0,0,0,0,data
50,0,0,0,0,0,0,0,data
51,0,0,0,0,0,0,0,data
52,0,0,0,0,0,0,0,data
53,0,0,0,0,0,0,0,data
54,0,0,0,0,0,0,0,data
55,0,0,0,0,0,0,0,data
56,0,0,0,0,0,0,0,data
57,0,0,0,0,0,0,0,data
58,0,0,0,0,0,0,0,data
59,0,0,0,0,0,0,0,data
60,0,0,0,0,0,0,0,data
61,0,0,0,0,0,0,0,data
62,0,0,0,0,0,0,0,data
63,0,0,0,0,0,0,0,data
64,0,0,0,0,0,0,0,data
65,0,0,0,0,0,0,0,data
66,0,0,0,0,0,0,0,data
67,0,0,0,0,0,0,0,data
68,0,0,0,0,0,0,0,data
69,0,0,0,0,0,0,0,data
70,0,0,0,0,0,0,0,data
71,0,0,0,0,0,0,0,data
72,0,0,0,0,0,0,0,data
73,0,0,0,0,0,0,0,data
74,0,0,0,0,0,0,0,data
75,0,0,0,0,0,0,0,data
76,0,0,0,0,0,0,0,data
77,0,0,0,0,0,0,0,data
78,0,0,0,0,0,0,0,data
79,0,0,0,0,0,0,0,data
80,0,0,0,0,0,0,0,data
81,0,0,0,0,0,0,0,data
82,0,0,0,0,0,0,0,data
83,0,0,0,0,0,0,0,data
84,0,0,0,0,0,0,0,data
85,0,0,0,0,0,0,0,data
86,0,0,0,0,0,0,0,data
87,0,0,0,0,0,0,0,data
88,0,0,0,0,0,0,0,data
89,0,0,0,0,0,0,0,data
90,0,0,0,0,0,0,0,data
91,0,0,0,0,0,0,0,data
92,0,0,0,0,0,0,0,data
93,0,0,0,0,0,0,0,data
94,0,0,0,0,0,0,0,data
95,0,0,0,0,0,0,0,data
96,0,0,0,0,0,0,0,data
97,0,0,0,0,0,0,0,data
98,0,0,0,0,0,0,0,data
99,0,0,0,0,0,0,0,data
100,0,0,0,0,0,0,0,data
101,0,0,0,0,0,0,0,data
102,0,0,0,0,0,0,0,data
103,0,0,0,0,0,0,0,data
104,0,0,0,0,0,0,0,data
105,0,0,0,0,0,0,0,data
106,0,0,0,0,0,0,0,data
107,0,0,0,0,0,0,0,data
108,0,0,0,0,0,0,0,data
109,0,0,0,0,0,0,0,data
110,0,0,0,0,0,0,0,data
111,0,0,0,0,0,0,0,data
112,0,0,0,0,0,0,0,data
113,0,0,0,0,0,0,0,data
114,0,0,0,0,0,0,0,data
115,0,0,0,0,0,0,0,data
116,0,0,0,0,0,0,0,data
117,0,0,0,0,0,0,0,data
118,0,0,0,0,0,0,0,data
119,0,0,0,0,0,0,0,data
120,0,0,0,0,0,0,0,data
121,0,0,0,0,0,0,0,data
122,0,0,0,0,0,0,0,data
123,0,0,0,0,0,0,0,data
124,0,0,0,0,0,0,0,data
125,0,0,0,0,0,0,0,data
126,0,0,0,0,0,0,0,data
127,0,0,0,0,0,0,0,data
128,0,0,0,0,0,0,0,data
129,0,0,0,0,0,0,0,data
130,0,0,0,0,0,0,0,data
131,0,0,0,0,0,0,0,data
132,0,0,0,0,0,0,0,data
133,0,0,0,0,0,0,0,data
134,0,0,0,0,0,0,0,data
135,0,0,0,0,0,0,0,data
136,0,0,0,0,0,0,0,data
137,0,0,0,0,0,0,0,data
138,0,0,0,0,0,0,0,data
139,0,0,0,0,0,0,0,data
140,0,0,0,0,0,0,0,data
141,0,0,0,0,0,0,0,data
142,0,0,0,0,0,0,0,data
143,0,0,0,0,0,0,0,data
144,0,0,0,0,0,0,0,data
145,0,0,0,0,0,0,0,data
146,0,0,0,0,0,0,0,data
147,0,0,0,0,0,0,0,data
148,0,0,0,0,0,0,0,data
149,0,0,0,0,0,0,0,data
150,0,0,0,0,0,0,0,data
151,0,0,0,0,0,0,0,data
152,0,0,0,0,0,0,0,data
153,0,0,0,0,0,0,0,data
154,0,0,0,0,0,0,0,data
155,0,0,0,0,0,0,0,data
156,0,0,0,0,0,0,0,data
157,0,0,0,0,0,0,0,data
158,0,0,0,0,0,0,0,data
159,0,0,0,0,0,0,0,data
160,0,0,0,0,0,0,0,data
161,0,0,0,0,0,0,0,data
162,0,0,0,0,0,0,0,data
163,0,0,0,0,0,0,0,data
164,0,0,0,0,0,0,0,data
165,0,0,0,0,0,0,0,data
166,0,0,0,0,0,0,0,data
167,0,0,0,0,0,0,0,data
168,0,0,0,0,0,0,0,data
169,0,0,0,0,0,0,0,data
170,0,0,0,0,0,0,0,data
171,0,0,0,0,0,0,0,data
172,0,0,0,0,0,0,0,data
173,0,0,0,0,0,0,0,data
174,0,0,0,0,0,0,0,data
175,0,0,0,0,0,0,0,data
176,0,0,0,0,0,0,0,data
177,0,0,0,0,0,0,0,data
178,0,0,0,0,0,0,0,data
179,0,0,0,0,0,0,0,data
180,0,0,0,0,0,0,0,data
181,0,0,0,0,0,0,0,data
182,0,0,0,0,0,0,0,data
183,0,0,0,0,0,0,0,data
184,0,0,0,0,0,0,0,data
185,0,0,0,0,0,0,0,data
186,0,0,0,0,0,0,0,data
187,0,0,0,0,0,0,0,data
188,0,0,0,0,0,0,0,data
189,0,0,0,0,0,0,0,data
190,0,0,0,0,0,0,0,data
191,0,0,0,0,0,0,0,data
192,0,0,0,0,0,0,0,data
193,0,0,0,0,0,0,0,data
194,0,0,0,0,0,0,0,data
195,0,0,0,0,0,0,0,data
196,0,0,0,0,0,0,0,data
197,0,0,0,0,0,0,0,data
198,0,0,0,0,0,0,0,data
199,0,0,0,0,0,0,0,data
200,0,0,0,0,0,0,0,data
201,0,0,0,0,0,0,0,data
202,0,0,0,0,0,0,0,data
203,0,0,0,0,0,0,0,data
204,0,0,0,0,0,0,0,data
205,0,0,0,0,0,0,0,data
206,0,0,0,0,0,0,0,data
207,0,0,0,0,0,0,0,data
208,0,0,0,0,0,0,0,data
209,0,0,0,0,0,0,0,data
210,0,0,0,0,0,0,0,data
211,0,0,0,0,0,0,0,data
212,0,0,0,0,0,0,0,data
213,0,0,0,0,0,0,0,data
214,0,0,0,0,0,0,0,data
215,0,0,0,0,0,0,0,data
216,0,0,0,0,0,0,0,data
217,0,0,0,0,0,0,0,data
218,0,0,0,0,0,0,0,data
219,0,0,0,0,0,0,0,data
220,0,0,0,0,0,0,0,data
221,0,0,0,0,0,0,0,data
222,0,0,0,0,0,0,0,data
223,0,0,0,0,0,0,0,data
224,0,0,0,0,0,0,0,data
225,0,0,0,0,0,0,0,data
226,0,0,0,0,0,0,0,data
227,0,0,0,0,0,0,0,data
228,0,0,0,0,0,0,0,data
229,0,0,0,0,0,0,0,data
230,0,0,0,0,0,0,0,data
231,0,0,0,0,0,0,0,data
232,0,0,0,0,0,0,0,data
233,0,0,0,0,0,0,0,data
234,0,0,0,0,0,0,0,data
235,0,0,0,0,0,0,0,data
236,0,0,0,0,0,0,0,data
